Namespace(b1=0.5, b2=0.999, batch_size=64, channels=3, img_size=128, latent_dim=100, lr=0.0002, n_cpu=8, n_epochs=200, sample_interval=400)
[Epoch 4/200] [Batch 24/27] [D loss: 0.654171] [G loss: 0.683411]
[Epoch 4/200] [Batch 25/27] [D loss: 0.663506] [G loss: 0.637162]
[Epoch 4/200] [Batch 26/27] [D loss: 0.689265] [G loss: 0.605105]
[Epoch 5/200] [Batch 0/27] [D loss: 0.674466] [G loss: 0.625297]
[Epoch 5/200] [Batch 1/27] [D loss: 0.675290] [G loss: 0.668196]
[Epoch 5/200] [Batch 2/27] [D loss: 0.700927] [G loss: 0.698836]
[Epoch 5/200] [Batch 3/27] [D loss: 0.701001] [G loss: 0.749790]
[Epoch 5/200] [Batch 4/27] [D loss: 0.694881] [G loss: 0.762524]
[Epoch 5/200] [Batch 5/27] [D loss: 0.707965] [G loss: 0.823559]
[Epoch 5/200] [Batch 6/27] [D loss: 0.698638] [G loss: 0.822552]
[Epoch 5/200] [Batch 7/27] [D loss: 0.698346] [G loss: 0.808939]
[Epoch 5/200] [Batch 8/27] [D loss: 0.698687] [G loss: 0.811533]
[Epoch 5/200] [Batch 9/27] [D loss: 0.705013] [G loss: 0.808818]
[Epoch 5/200] [Batch 10/27] [D loss: 0.690010] [G loss: 0.782840]
[Epoch 5/200] [Batch 11/27] [D loss: 0.695566] [G loss: 0.763751]
[Epoch 5/200] [Batch 12/27] [D loss: 0.706968] [G loss: 0.756491]
[Epoch 5/200] [Batch 13/27] [D loss: 0.702003] [G loss: 0.725063]
[Epoch 5/200] [Batch 14/27] [D loss: 0.698539] [G loss: 0.744983]
[Epoch 5/200] [Batch 15/27] [D loss: 0.688614] [G loss: 0.727324]
[Epoch 5/200] [Batch 16/27] [D loss: 0.688362] [G loss: 0.731675]
[Epoch 5/200] [Batch 17/27] [D loss: 0.697486] [G loss: 0.727864]
[Epoch 5/200] [Batch 18/27] [D loss: 0.665515] [G loss: 0.715278]
[Epoch 5/200] [Batch 19/27] [D loss: 0.666231] [G loss: 0.714950]
[Epoch 5/200] [Batch 20/27] [D loss: 0.670161] [G loss: 0.700256]
[Epoch 5/200] [Batch 21/27] [D loss: 0.662483] [G loss: 0.683754]
[Epoch 5/200] [Batch 22/27] [D loss: 0.666411] [G loss: 0.654411]
[Epoch 5/200] [Batch 23/27] [D loss: 0.690996] [G loss: 0.625646]
[Epoch 5/200] [Batch 24/27] [D loss: 0.695669] [G loss: 0.601551]
[Epoch 5/200] [Batch 25/27] [D loss: 0.708212] [G loss: 0.589178]
[Epoch 5/200] [Batch 26/27] [D loss: 0.697948] [G loss: 0.610533]
[Epoch 6/200] [Batch 0/27] [D loss: 0.679179] [G loss: 0.642701]
[Epoch 6/200] [Batch 1/27] [D loss: 0.702867] [G loss: 0.672397]
[Epoch 6/200] [Batch 2/27] [D loss: 0.691086] [G loss: 0.708281]
[Epoch 6/200] [Batch 3/27] [D loss: 0.691697] [G loss: 0.717644]
[Epoch 6/200] [Batch 4/27] [D loss: 0.694632] [G loss: 0.720621]
[Epoch 6/200] [Batch 5/27] [D loss: 0.683463] [G loss: 0.719630]
[Epoch 6/200] [Batch 6/27] [D loss: 0.692377] [G loss: 0.717888]
[Epoch 6/200] [Batch 7/27] [D loss: 0.690842] [G loss: 0.720531]
[Epoch 6/200] [Batch 8/27] [D loss: 0.681146] [G loss: 0.722346]
[Epoch 6/200] [Batch 9/27] [D loss: 0.680787] [G loss: 0.718006]
[Epoch 6/200] [Batch 10/27] [D loss: 0.659933] [G loss: 0.709900]
[Epoch 6/200] [Batch 11/27] [D loss: 0.663050] [G loss: 0.670906]
[Epoch 6/200] [Batch 12/27] [D loss: 0.690050] [G loss: 0.627693]
